category
"cat1,subcat1.1,subcat1.2,subcat1.3"
"cat2,subcat2.1,subcat2.1.1,subcat3.1.1"
"cat2,subcat2.1,subcat2.2.2,subcat3.1.1"
"cat1,cat2,cat3,cat4"
"cat1,cat21,cat3,cat4"
"cat21,cat3,cat4"
"cat22,cat21,cat3,cat4"
"cat23,cat21,cat3,cat4"
"cat221,cat21,cat3,cat4"
"cat2221,cat21,cat3,cat4"
"cat22221,cat21,cat3,cat4"
"cat4441,cat21,cat3,cat4"
"cat4441,cat21,cat3,cat4"
"cat5231,cat21,cat3,cat4"
"cat1,cat2231,cat3,cat4"
"cat1,cat21,cat3,cat4"
"cat1,cat21,cat3,cat4"
"cat1,cat21,cat3,cat4"
"cat1,cat212,cat3,cat4"
"cat1,cat243,cat3,cat4"
"cat1,cat2,cat3,cat4"
"cat1,cat26,cat3,cat4"
"cat1,cat25,cat3,cat4"
"cat134,cat22,cat3,cat4"
"cat15,cat8,cat7,cat6"
